year,state,handgun,long_gun,other,totals,permit,permit_recheck
1999,New Jersey,16176,21722,0,37898,0,0
1999,New Mexico,35566,56919,0,92485,0,0
1999,New York,10451,108562,0,119013,66554,0
1999,North Carolina,18324,181883,0,200207,108235,0
1999,North Dakota,5032,24528,0,29560,132,0
1999,Ohio,119054,173096,0,292150,0,0
1999,Oklahoma,57147,108851,0,165998,5,0
1999,Oregon,63342,95103,0,158445,0,0
1999,Pennsylvania,4139,511103,0,515242,10095,0
1999,Puerto Rico,4090,1033,0,5123,0,0
1999,Rhode Island,4933,5011,0,9944,0,0
1999,South Carolina,57983,80786,0,138769,5478,0
1999,South Dakota,4168,26947,0,31115,0,0
1999,Tennessee,122114,138475,0,260589,0,0
1999,Texas,229866,407561,0,637427,61171,0
1999,Utah,26051,50495,0,76546,0,0
1999,Vermont,6443,15571,0,22014,0,0
1999,Virgin Islands,0,0,0,0,0,0
1999,Virginia,84170,122192,0,206362,0,0
1999,Washington,29640,88327,0,117967,12977,0
1999,West Virginia,40720,91692,0,132412,24,0
1999,Wisconsin,49549,129693,0,179242,0,0
1999,Wyoming,10485,22463,0,32948,1891,0
1999 Total,0,2536738,5217451,0,7754189,1037700,0
2000,Alabama,81983,136767,0,218750,12,0
2000,Alaska,12714,26311,0,39025,0,0
2000,Arizona,65267,64828,0,130095,10401,0
2000,Arkansas,43458,116885,0,160343,6749,0
2000,California,328615,302746,0,631361,163145,0
2000,Colorado,118000,178889,0,296889,0,0
2000,Connecticut,8,4,0,12,87541,0
2000,Delaware,4948,10260,0,15208,0,0
2000,District of Columbia,17,0,0,17,0,0
2000,Florida,122562,122921,0,245483,0,0
2000,Georgia,83738,130224,0,213962,38994,0
2000,Guam,119,151,0,270,0,0
2000,Hawaii,0,0,0,0,6609,0
2000,Idaho,19285,46396,0,65681,0,0
2000,Illinois,60504,90875,0,151379,296360,0
2000,Indiana,22982,91875,0,114857,67405,0
2000,Iowa,440,41996,0,42436,45153,0
2000,Kansas,29377,65492,0,94869,0,0
2000,Kentucky,84688,140793,0,225481,0,0
2000,Louisiana,59327,112960,0,172287,2,0
2000,Maine,12055,32362,0,44417,0,0
2000,Mariana Islands,12,1,0,13,0,0
2000,Maryland,1708,46531,0,48239,35960,0
2000,Massachusetts,14067,10857,0,24924,26698,0
2000,Michigan,964,177663,0,178627,121971,0
2000,Minnesota,29984,121151,0,151135,32839,0
2000,Mississippi,56142,105749,0,161891,4,0
2000,Missouri,36523,153556,0,190079,2,0
2000,Montana,18401,51480,0,69881,2,0
2000,Nebraska,393,29121,0,29514,15279,0
2000,Nevada,23817,24605,0,48422,0,0
2000,New Hampshire,14495,24898,0,39393,578,0
2000,New Jersey,15263,21233,0,36496,0,0
2000,New Mexico,29382,53048,0,82430,0,0
2000,New York,9624,99927,0,109551,53844,0
2000,North Carolina,16227,170004,0,186231,103453,0
2000,North Dakota,4994,24814,0,29808,2301,0
2000,Ohio,99315,169218,0,268533,3,0
2000,Oklahoma,49532,104139,0,153671,3,0
2000,Oregon,49634,83512,0,133146,92,0
2000,Pennsylvania,10,467484,0,467494,4424,0
2000,Puerto Rico,4150,1064,0,5214,0,0
2000,Rhode Island,4216,4221,0,8437,0,0
2000,South Carolina,47169,72897,0,120066,7392,0
2000,South Dakota,5768,30673,0,36441,0,0
2000,Tennessee,100998,130240,0,231238,3,0
2000,Texas,189654,385227,0,574881,77773,0
2000,Utah,19941,46763,0,66704,0,0
2000,Vermont,5867,14263,0,20130,0,0
2000,Virgin Islands,0,0,0,0,0,0
2000,Virginia,71978,114634,0,186612,0,0
2000,Washington,34495,77732,0,112227,20104,0
2000,West Virginia,36957,89235,0,126192,0,0
2000,Wisconsin,40804,139566,0,180370,7,0
2000,Wyoming,9308,21737,0,31045,2711,0
2000 Total,0,2191879,4779978,0,6971857,1227814,0
2001,Alabama,83885,134914,0,218799,0,0
2001,Alaska,13039,25328,0,38367,0,0
2001,Arizona,63196,67475,0,130671,12657,0
2001,Arkansas,40128,110925,0,151053,6225,0
2001,California,280044,338251,0,618295,236271,0
2001,Colorado,131277,207982,0,339259,0,0
2001,Connecticut,9414,13153,0,22567,66094,0
2001,Delaware,5204,11209,0,16413,0,0
2001,District of Columbia,12,5,0,17,0,0
2001,Florida,141154,142637,0,283791,0,0
2001,Georgia,79997,130545,0,210542,34018,0
2001,Guam,150,174,0,324,0,0
2001,Hawaii,0,0,0,0,7456,0
2001,Idaho,17019,45814,0,62833,5106,0
2001,Illinois,57953,94887,0,152840,307614,0
2001,Indiana,25207,66300,0,91507,103144,0
2001,Iowa,411,41007,0,41418,47681,0
2001,Kansas,27427,63994,0,91421,0,0
2001,Kentucky,82302,144967,0,227269,0,0
2001,Louisiana,58091,111645,0,169736,0,0
2001,Maine,13102,35671,0,48773,0,0
2001,Mariana Islands,92,46,0,138,0,0
2001,Maryland,1355,51403,0,52758,30014,0
2001,Massachusetts,15490,13525,0,29015,34792,0
2001,Michigan,5213,181226,0,186439,176059,0
2001,Minnesota,28882,121855,0,150737,38847,0
2001,Mississippi,50613,99703,0,150316,0,0
2001,Missouri,35511,158183,0,193694,4,0
2001,Montana,17931,52024,0,69955,1243,0
2001,Nebraska,293,28352,0,28645,15486,0
2001,Nevada,24035,25176,0,49211,2,0
2001,New Hampshire,15257,26323,0,41580,3893,0
2001,New Jersey,13791,25132,0,38923,0,0
2001,New Mexico,29124,50915,0,80039,0,0
2001,New York,8629,109771,0,118400,56696,0
2001,North Carolina,13733,172180,0,185913,95424,0
2001,North Dakota,4709,24786,0,29495,2044,0
2001,Ohio,102266,179760,0,282026,0,0
2001,Oklahoma,50296,103712,0,154008,0,0
2001,Oregon,46620,91343,0,137963,723,0
2001,Pennsylvania,0,500416,0,500416,3915,0
2001,Puerto Rico,5793,1168,0,6961,0,0
2001,Rhode Island,4385,4874,0,9259,0,0
2001,South Carolina,44922,69847,0,114769,14567,0
2001,South Dakota,6942,32988,0,39930,1,0
2001,Tennessee,97966,129355,0,227321,3,0
2001,Texas,187524,381765,0,569289,73573,0
2001,Utah,19427,47173,0,66600,0,0
2001,Vermont,5872,14585,0,20457,0,0
2001,Virgin Islands,0,0,0,0,0,0
2001,Virginia,73338,120955,0,194293,0,0
2001,Washington,40469,82660,0,123129,32748,0
2001,West Virginia,37274,93313,0,130587,4,0
2001,Wisconsin,41124,140187,0,181311,1,0
2001,Wyoming,9325,21791,0,31116,2033,0
2001 Total,0,2167213,4943375,0,7110588,1408338,0
2002,Alabama,65294,111339,0,176633,0,0
